scenario,opponent_strategy,round,selected_strategy,reward,winner,player_1_score,player_2_score
small,anti_top_heavy,1,anti_top_heavy,0.0,0,5.0,5.0
small,anti_top_heavy,2,balanced_priority,-0.1,2,4.5,5.5
small,anti_top_heavy,3,defensive_spread,-0.2,2,4.0,6.0
small,anti_top_heavy,4,noisy_weighted,-0.2,2,4.0,6.0
small,anti_top_heavy,5,random_partition,0.2,1,6.0,4.0
small,anti_top_heavy,6,top_heavy,-0.2,2,4.0,6.0
small,anti_top_heavy,7,uniform,-0.1,2,4.5,5.5
small,anti_top_heavy,8,weighted_value,-0.2,2,4.0,6.0
small,anti_top_heavy,9,winner_take_most,0.1,1,5.5,4.5
small,anti_top_heavy,10,random_partition,0.1,1,5.5,4.5
small,anti_top_heavy,11,winner_take_most,0.1,1,5.5,4.5
small,anti_top_heavy,12,anti_top_heavy,0.0,0,5.0,5.0
small,anti_top_heavy,13,balanced_priority,-0.1,2,4.5,5.5
small,anti_top_heavy,14,uniform,0.0,0,5.0,5.0
small,anti_top_heavy,15,defensive_spread,-0.2,2,4.0,6.0
small,anti_top_heavy,16,noisy_weighted,0.1,1,5.5,4.5
small,anti_top_heavy,17,top_heavy,-0.2,2,4.0,6.0
small,anti_top_heavy,18,weighted_value,-0.2,2,4.0,6.0
small,anti_top_heavy,19,random_partition,0.6,1,8.0,2.0
small,anti_top_heavy,20,winner_take_most,0.1,1,5.5,4.5
small,anti_top_heavy,21,anti_top_heavy,0.0,0,5.0,5.0
small,anti_top_heavy,22,random_partition,-0.2,2,4.0,6.0
small,anti_top_heavy,23,noisy_weighted,-0.2,2,4.0,6.0
small,anti_top_heavy,24,uniform,0.0,0,5.0,5.0
small,anti_top_heavy,25,balanced_priority,-0.1,2,4.5,5.5
small,anti_top_heavy,26,defensive_spread,-0.2,2,4.0,6.0
small,anti_top_heavy,27,top_heavy,-0.2,2,4.0,6.0
small,anti_top_heavy,28,weighted_value,-0.2,2,4.0,6.0
small,anti_top_heavy,29,winner_take_most,0.1,1,5.5,4.5
small,anti_top_heavy,30,anti_top_heavy,0.0,0,5.0,5.0
small,anti_top_heavy,31,random_partition,0.1,1,5.5,4.5
small,anti_top_heavy,32,uniform,0.0,0,5.0,5.0
small,anti_top_heavy,33,balanced_priority,-0.1,2,4.5,5.5
small,anti_top_heavy,34,noisy_weighted,-0.2,2,4.0,6.0
small,anti_top_heavy,35,winner_take_most,0.1,1,5.5,4.5
small,anti_top_heavy,36,random_partition,-0.8,2,1.0,9.0
small,anti_top_heavy,37,defensive_spread,-0.2,2,4.0,6.0
small,anti_top_heavy,38,top_heavy,-0.2,2,4.0,6.0
small,anti_top_heavy,39,weighted_value,-0.2,2,4.0,6.0
small,anti_top_heavy,40,anti_top_heavy,0.0,0,5.0,5.0
small,anti_top_heavy,41,uniform,0.0,0,5.0,5.0
small,anti_top_heavy,42,winner_take_most,0.1,1,5.5,4.5
small,anti_top_heavy,43,balanced_priority,-0.1,2,4.5,5.5
small,anti_top_heavy,44,noisy_weighted,-0.2,2,4.0,6.0
small,anti_top_heavy,45,anti_top_heavy,0.0,0,5.0,5.0
