scenario,opponent_strategy,adaptive_agent,rounds_played,win_rate,avg_reward,most_selected_strategy,best_empirical_strategy,explored_strategies,strategy_switches
small,anti_top_heavy,adaptive_ucb_meta,120,0.25,-0.05749999999999999,winner_take_most,winner_take_most,9,118
small,balanced_priority,adaptive_ucb_meta,120,0.75,0.20583333333333337,weighted_value,weighted_value,9,117
small,defensive_spread,adaptive_ucb_meta,120,0.5916666666666667,0.10250000000000006,winner_take_most,winner_take_most,9,113
small,noisy_weighted,adaptive_ucb_meta,120,0.575,0.06416666666666672,winner_take_most,winner_take_most,9,114
small,random_partition,adaptive_ucb_meta,120,0.625,0.195,noisy_weighted,noisy_weighted,9,112
small,top_heavy,adaptive_ucb_meta,120,0.8083333333333333,0.11833333333333336,anti_top_heavy,anti_top_heavy,9,119
small,uniform,adaptive_ucb_meta,120,0.8083333333333333,0.24833333333333335,noisy_weighted,winner_take_most,9,119
small,weighted_value,adaptive_ucb_meta,120,0.5583333333333333,0.08166666666666673,winner_take_most,winner_take_most,9,113
small,winner_take_most,adaptive_ucb_meta,120,0.43333333333333335,0.021666666666666598,top_heavy,top_heavy,9,94
baseline,anti_top_heavy,adaptive_ucb_meta,120,0.2916666666666667,-0.08888888888888885,winner_take_most,winner_take_most,9,111
baseline,balanced_priority,adaptive_ucb_meta,120,0.6416666666666667,0.09277777777777779,anti_top_heavy,anti_top_heavy,9,119
baseline,defensive_spread,adaptive_ucb_meta,120,0.6333333333333333,0.09444444444444446,anti_top_heavy,anti_top_heavy,9,119
baseline,noisy_weighted,adaptive_ucb_meta,120,0.5916666666666667,0.03888888888888889,anti_top_heavy,anti_top_heavy,9,119
baseline,random_partition,adaptive_ucb_meta,120,0.7,0.21333333333333335,balanced_priority,balanced_priority,9,112
baseline,top_heavy,adaptive_ucb_meta,120,0.8833333333333333,0.24944444444444439,anti_top_heavy,anti_top_heavy,9,119
baseline,uniform,adaptive_ucb_meta,120,0.8583333333333333,0.26611111111111113,balanced_priority,noisy_weighted,9,117
baseline,weighted_value,adaptive_ucb_meta,120,0.5083333333333333,0.030000000000000044,anti_top_heavy,anti_top_heavy,9,115
baseline,winner_take_most,adaptive_ucb_meta,120,0.43333333333333335,0.10444444444444427,top_heavy,top_heavy,9,91
medium,anti_top_heavy,adaptive_ucb_meta,120,0.275,-0.1444444444444444,winner_take_most,winner_take_most,9,117
medium,balanced_priority,adaptive_ucb_meta,120,0.7916666666666666,0.2170634920634921,defensive_spread,defensive_spread,9,119
medium,defensive_spread,adaptive_ucb_meta,120,0.65,0.09761904761904767,anti_top_heavy,anti_top_heavy,9,114
medium,noisy_weighted,adaptive_ucb_meta,120,0.5583333333333333,0.024603174603174606,anti_top_heavy,anti_top_heavy,9,114
medium,random_partition,adaptive_ucb_meta,120,0.725,0.20674603174603176,weighted_value,weighted_value,9,114
medium,top_heavy,adaptive_ucb_meta,120,0.8666666666666667,0.3317460317460318,anti_top_heavy,anti_top_heavy,9,119
medium,uniform,adaptive_ucb_meta,120,0.8583333333333333,0.26865079365079375,defensive_spread,defensive_spread,9,119
medium,weighted_value,adaptive_ucb_meta,120,0.55,0.07222222222222217,anti_top_heavy,anti_top_heavy,9,111
medium,winner_take_most,adaptive_ucb_meta,120,0.38333333333333336,0.17301587301587323,top_heavy,top_heavy,9,90
large,anti_top_heavy,adaptive_ucb_meta,120,0.025,-0.2439814814814815,anti_top_heavy,anti_top_heavy,9,119
large,balanced_priority,adaptive_ucb_meta,120,0.6916666666666667,0.15879629629629635,weighted_value,weighted_value,9,119
large,defensive_spread,adaptive_ucb_meta,120,0.5833333333333334,0.13240740740740725,anti_top_heavy,anti_top_heavy,9,111
large,noisy_weighted,adaptive_ucb_meta,120,0.44166666666666665,-0.04814814814814815,anti_top_heavy,anti_top_heavy,9,118
