match_id,troops_per_player,battlefield_values,player_1_strategy,player_2_strategy,player_1_allocation,player_2_allocation,player_1_score,player_2_score,score_margin,winner
1,20,"[1, 2, 3, 4, 5]",uniform,uniform,"[4, 4, 4, 4, 4]","[4, 4, 4, 4, 4]",7.5,7.5,0.0,0
2,20,"[1, 2, 3, 4, 5]",uniform,uniform,"[4, 4, 4, 4, 4]","[4, 4, 4, 4, 4]",7.5,7.5,0.0,0
3,20,"[1, 2, 3, 4, 5]",uniform,uniform,"[4, 4, 4, 4, 4]","[4, 4, 4, 4, 4]",7.5,7.5,0.0,0
4,20,"[1, 2, 3, 4, 5]",uniform,uniform,"[4, 4, 4, 4, 4]","[4, 4, 4, 4, 4]",7.5,7.5,0.0,0
5,20,"[1, 2, 3, 4, 5]",uniform,uniform,"[4, 4, 4, 4, 4]","[4, 4, 4, 4, 4]",7.5,7.5,0.0,0
6,20,"[1, 2, 3, 4, 5]",uniform,uniform,"[4, 4, 4, 4, 4]","[4, 4, 4, 4, 4]",7.5,7.5,0.0,0
7,20,"[1, 2, 3, 4, 5]",uniform,uniform,"[4, 4, 4, 4, 4]","[4, 4, 4, 4, 4]",7.5,7.5,0.0,0
8,20,"[1, 2, 3, 4, 5]",uniform,uniform,"[4, 4, 4, 4, 4]","[4, 4, 4, 4, 4]",7.5,7.5,0.0,0
9,20,"[1, 2, 3, 4, 5]",uniform,uniform,"[4, 4, 4, 4, 4]","[4, 4, 4, 4, 4]",7.5,7.5,0.0,0
10,20,"[1, 2, 3, 4, 5]",uniform,uniform,"[4, 4, 4, 4, 4]","[4, 4, 4, 4, 4]",7.5,7.5,0.0,0
11,20,"[1, 2, 3, 4, 5]",uniform,uniform,"[4, 4, 4, 4, 4]","[4, 4, 4, 4, 4]",7.5,7.5,0.0,0
12,20,"[1, 2, 3, 4, 5]",uniform,uniform,"[4, 4, 4, 4, 4]","[4, 4, 4, 4, 4]",7.5,7.5,0.0,0
13,20,"[1, 2, 3, 4, 5]",uniform,uniform,"[4, 4, 4, 4, 4]","[4, 4, 4, 4, 4]",7.5,7.5,0.0,0
