scenario,player_1_strategy,player_2_strategy,matches,troops_per_player,battlefields,total_battlefield_value,player_1_win_rate,player_2_win_rate,draw_rate,avg_player_1_score,avg_player_2_score,avg_margin,avg_runtime_ms,max_runtime_ms,avg_player_1_score_share,avg_player_2_score_share,avg_player_1_battlefield_wins,avg_player_2_battlefield_wins,avg_tied_battlefields,avg_player_1_hhi,avg_player_2_hhi,avg_player_1_entropy,avg_player_2_entropy,avg_player_1_unused_battlefields,avg_player_2_unused_battlefields,close_game_rate,decisive_game_rate
baseline,anti_top_heavy,anti_top_heavy,250,20,5,15,0.0,0.0,1.0,7.5,7.5,0.0,0.019205600139684975,0.4828000091947615,0.5,0.5,0.0,0.0,5.0,0.265,0.265,2.063865121950854,2.063865121950854,0.0,0.0,1.0,0.0
baseline,anti_top_heavy,balanced_priority,250,20,5,15,1.0,0.0,0.0,9.5,5.5,4.0,0.020795600255951285,0.5262999911792576,0.6333333333333333,0.36666666666666664,3.0,1.0,1.0,0.265,0.225,2.063865121950854,2.2282129458410016,0.0,0.0,0.0,1.0
baseline,anti_top_heavy,defensive_spread,250,20,5,15,1.0,0.0,0.0,9.5,5.5,4.0,0.018650798709131777,0.0481999886687845,0.6333333333333333,0.36666666666666664,3.0,1.0,1.0,0.265,0.225,2.063865121950854,2.2282129458410016,0.0,0.0,0.0,1.0
baseline,anti_top_heavy,noisy_weighted,250,20,5,15,0.952,0.008,0.04,9.548,5.452,4.096,0.022348799626342952,1.2448999914340675,0.6365333333333333,0.36346666666666666,3.5,1.008,0.492,0.265,0.25192000000000003,2.063865121950854,2.1230367071315004,0.0,0.0,0.096,0.84
baseline,anti_top_heavy,random_partition,250,20,5,15,0.584,0.352,0.064,8.318,6.682,1.636,0.019027200061827898,0.09060002048499882,0.5545333333333333,0.4454666666666666,2.532,2.024,0.444,0.265,0.3436,2.063865121950854,1.7888219456746632,0.0,0.616,0.312,0.404
baseline,anti_top_heavy,top_heavy,250,20,5,15,1.0,0.0,0.0,10.0,5.0,5.0,0.027634400292299688,0.9710000013001263,0.6666666666666666,0.3333333333333333,4.0,1.0,0.0,0.265,0.5149999999999999,2.063865121950854,1.4567796494470395,0.0,0.0,0.0,1.0
baseline,anti_top_heavy,uniform,250,20,5,15,1.0,0.0,0.0,8.0,7.0,1.0,0.011466800700873137,0.0813000078778714,0.5333333333333333,0.4666666666666667,2.0,2.0,1.0,0.265,0.20000000000000004,2.063865121950854,2.321928094887362,0.0,0.0,1.0,0.0
baseline,anti_top_heavy,weighted_value,250,20,5,15,1.0,0.0,0.0,10.0,5.0,5.0,0.030061199562624097,1.5372000052593648,0.6666666666666666,0.3333333333333333,4.0,1.0,0.0,0.265,0.25,2.063865121950854,2.1211274733371868,0.0,0.0,0.0,1.0
baseline,anti_top_heavy,winner_take_most,250,20,5,15,0.0,1.0,0.0,6.0,9.0,-3.0,0.0202199995983392,0.5769000272266567,0.4,0.6,3.0,2.0,0.0,0.265,0.5050000000000001,2.063865121950854,0.9927744539878083,0.0,3.0,0.0,0.0
baseline,balanced_priority,anti_top_heavy,250,20,5,15,0.0,1.0,0.0,5.5,9.5,-4.0,0.020986400078982115,0.12240000069141388,0.36666666666666664,0.6333333333333333,1.0,3.0,1.0,0.225,0.265,2.2282129458410016,2.063865121950854,0.0,0.0,0.0,1.0
baseline,balanced_priority,balanced_priority,250,20,5,15,0.0,0.0,1.0,7.5,7.5,0.0,0.013631600770168006,0.028000009479001164,0.5,0.5,0.0,0.0,5.0,0.225,0.225,2.2282129458410016,2.2282129458410016,0.0,0.0,1.0,0.0
baseline,balanced_priority,defensive_spread,250,20,5,15,0.0,0.0,1.0,7.5,7.5,0.0,0.09432199993170798,13.327199994819239,0.5,0.5,0.0,0.0,5.0,0.225,0.225,2.2282129458410016,2.2282129458410016,0.0,0.0,1.0,0.0
baseline,balanced_priority,noisy_weighted,250,20,5,15,0.192,0.696,0.112,6.752,8.248,-1.496,0.037888400023803115,2.3329999821726233,0.45013333333333333,0.5498666666666667,1.728,1.32,1.952,0.225,0.25358,2.2282129458410016,2.1182099303642974,0.0,0.0,0.376,0.216
baseline,balanced_priority,random_partition,250,20,5,15,0.792,0.164,0.044,9.38,5.62,3.76,0.018292399705387652,0.1821999903768301,0.6253333333333334,0.3746666666666667,2.572,1.956,0.472,0.225,0.35781999999999997,2.2282129458410016,1.7360131149532116,0.0,0.696,0.22,0.52
baseline,balanced_priority,top_heavy,250,20,5,15,1.0,0.0,0.0,10.0,5.0,5.0,0.014971200376749039,0.022299995180219412,0.6666666666666666,0.3333333333333333,4.0,1.0,0.0,0.225,0.5149999999999999,2.2282129458410016,1.4567796494470395,0.0,0.0,0.0,1.0
baseline,balanced_priority,uniform,250,20,5,15,1.0,0.0,0.0,10.5,4.5,6.0,0.011314400006085634,0.025999994250014424,0.7,0.3,2.0,2.0,1.0,0.225,0.20000000000000004,2.2282129458410016,2.321928094887362,0.0,0.0,0.0,1.0
baseline,balanced_priority,weighted_value,250,20,5,15,0.0,1.0,0.0,5.5,9.5,-4.0,0.014054399100132287,0.029099988751113415,0.36666666666666664,0.6333333333333333,1.0,1.0,3.0,0.225,0.25,2.2282129458410016,2.1211274733371868,0.0,0.0,0.0,1.0
baseline,balanced_priority,winner_take_most,250,20,5,15,0.0,1.0,0.0,6.0,9.0,-3.0,0.018699200940318406,0.05460000829771161,0.4,0.6,3.0,2.0,0.0,0.225,0.5050000000000001,2.2282129458410016,0.9927744539878083,0.0,3.0,0.0,0.0
baseline,defensive_spread,anti_top_heavy,250,20,5,15,0.0,1.0,0.0,5.5,9.5,-4.0,0.013114001019857824,0.05979998968541622,0.36666666666666664,0.6333333333333333,1.0,3.0,1.0,0.225,0.265,2.2282129458410016,2.063865121950854,0.0,0.0,0.0,1.0
baseline,defensive_spread,balanced_priority,250,20,5,15,0.0,0.0,1.0,7.5,7.5,0.0,0.01252520049456507,0.017699989257380366,0.5,0.5,0.0,0.0,5.0,0.225,0.225,2.2282129458410016,2.2282129458410016,0.0,0.0,1.0,0.0
baseline,defensive_spread,defensive_spread,250,20,5,15,0.0,0.0,1.0,7.5,7.5,0.0,0.01699239923618734,0.8621999877505004,0.5,0.5,0.0,0.0,5.0,0.225,0.225,2.2282129458410016,2.2282129458410016,0.0,0.0,1.0,0.0
baseline,defensive_spread,noisy_weighted,250,20,5,15,0.176,0.696,0.128,6.638,8.362,-1.724,0.016128801042214036,0.28860001475550234,0.44253333333333333,0.5574666666666667,1.796,1.376,1.828,0.225,0.25518,2.2282129458410016,2.110868092784718,0.0,0.0,0.36,0.276
baseline,defensive_spread,random_partition,250,20,5,15,0.816,0.132,0.052,9.544,5.456,4.088,0.04675360023975372,8.765000005951151,0.6362666666666666,0.36373333333333335,2.592,1.9,0.508,0.225,0.34872000000000003,2.2282129458410016,1.7725797611520175,0.0,0.624,0.176,0.584
baseline,defensive_spread,top_heavy,250,20,5,15,1.0,0.0,0.0,10.0,5.0,5.0,0.014059998909942806,0.05699999746866524,0.6666666666666666,0.3333333333333333,4.0,1.0,0.0,0.225,0.5149999999999999,2.2282129458410016,1.4567796494470395,0.0,0.0,0.0,1.0
baseline,defensive_spread,uniform,250,20,5,15,1.0,0.0,0.0,10.5,4.5,6.0,0.01640319952275604,0.4602000117301941,0.7,0.3,2.0,2.0,1.0,0.225,0.20000000000000004,2.2282129458410016,2.321928094887362,0.0,0.0,0.0,1.0
baseline,defensive_spread,weighted_value,250,20,5,15,0.0,1.0,0.0,5.5,9.5,-4.0,0.025339599465951324,1.8691000004764646,0.36666666666666664,0.6333333333333333,1.0,1.0,3.0,0.225,0.25,2.2282129458410016,2.1211274733371868,0.0,0.0,0.0,1.0
baseline,defensive_spread,winner_take_most,250,20,5,15,0.0,1.0,0.0,6.0,9.0,-3.0,0.014488800545223057,0.022799998987466097,0.4,0.6,3.0,2.0,0.0,0.225,0.5050000000000001,2.2282129458410016,0.9927744539878083,0.0,3.0,0.0,0.0
baseline,noisy_weighted,anti_top_heavy,250,20,5,15,0.016,0.964,0.02,5.552,9.448,-3.896,0.01381959964055568,0.026599998818710446,0.3701333333333333,0.6298666666666667,1.004,3.468,0.528,0.25192000000000003,0.265,2.1214569314041576,2.063865121950854,0.0,0.0,0.148,0.784
baseline,noisy_weighted,balanced_priority,250,20,5,15,0.656,0.196,0.148,8.226,6.774,1.452,0.021256000269204378,0.2106000029016286,0.5484,0.4516,1.332,1.732,1.936,0.25222,0.225,2.120906580252896,2.2282129458410016,0.0,0.0,0.416,0.236
baseline,noisy_weighted,defensive_spread,250,20,5,15,0.644,0.208,0.148,8.294,6.706,1.588,0.052119998377747834,8.744100021431223,0.5529333333333333,0.44706666666666667,1.348,1.708,1.944,0.25236000000000003,0.225,2.120760253285559,2.2282129458410016,0.0,0.0,0.36,0.296
baseline,noisy_weighted,noisy_weighted,250,20,5,15,0.416,0.448,0.136,7.478,7.522,-0.044,0.03851640096399933,3.2288999937009066,0.49853333333333333,0.5014666666666666,1.564,1.572,1.864,0.2506,0.25168,2.1255626908558067,2.1240435245162987,0.0,0.0,0.404,0.172
baseline,noisy_weighted,random_partition,250,20,5,15,0.816,0.152,0.032,9.616,5.384,4.232,0.031645600334741175,2.0875000045634806,0.6410666666666666,0.3589333333333333,2.544,1.964,0.492,0.25232,0.3593,2.1212619191588518,1.7385076542397921,0.0,0.696,0.184,0.58
baseline,noisy_weighted,top_heavy,250,20,5,15,1.0,0.0,0.0,9.646,5.354,4.292,0.02853040082845837,1.4347999822348356,0.6430666666666666,0.3569333333333333,3.292,1.0,0.708,0.25428,0.5149999999999999,2.1143155242653884,1.4567796494470395,0.0,0.0,0.0,1.0
baseline,noisy_weighted,uniform,250,20,5,15,0.964,0.036,0.0,10.076,4.924,5.152,0.019020799547433853,0.17939999816007912,0.6717333333333333,0.32826666666666665,2.044,2.212,0.744,0.25282,0.20000000000000004,2.1192372606214427,2.321928094887362,0.0,0.0,0.052,0.624
baseline,noisy_weighted,weighted_value,250,20,5,15,0.364,0.488,0.148,7.3,7.7,-0.4,0.022845200030133128,0.6577000021934509,0.4866666666666667,0.5133333333333334,1.32,1.3,2.38,0.25306,0.25,2.1193358851538724,2.1211274733371868,0.0,0.0,0.512,0.156
baseline,noisy_weighted,winner_take_most,250,20,5,15,0.0,1.0,0.0,6.0,9.0,-3.0,0.01600600010715425,0.02680000034160912,0.4,0.6,3.0,2.0,0.0,0.2555,0.5050000000000001,2.110332316835459,0.9927744539878083,0.0,3.0,0.0,0.0
baseline,random_partition,anti_top_heavy,250,20,5,15,0.348,0.6,0.052,6.602,8.398,-1.796,0.01095760171301663,0.03160000778734684,0.4401333333333333,0.5598666666666666,1.984,2.524,0.492,0.35516000000000003,0.265,1.7392627694276976,2.063865121950854,0.716,0.0,0.32,0.408
baseline,random_partition,balanced_priority,250,20,5,15,0.144,0.804,0.052,5.412,9.588,-4.176,0.014645198592916131,0.5423999973572791,0.3608,0.6392,1.932,2.608,0.46,0.34556,0.225,1.7844819400008443,2.2282129458410016,0.588,0.0,0.216,0.596
